first_allele,second_allele,"O(i,j)","E(i,j)","Rho(i,j)","E(i,j)*Rho(i,j)","var_observed(i,j)"
2,2,235.39999999999827,243.7416200000951,0.8154630416312684,198.76228281741035,190.85173679996748
2,12,458.00000000000733,491.20464600019767,0.8110480349344753,398.3905628891449,367.26471999968686
2,6,663.2000000000158,658.3886360003426,0.8217430639324178,541.0262950052069,536.1833152006927
2,7,758.6000000000167,753.0017180004237,0.8290271552860237,624.2588721993799,617.3905208000928
2,0,262.79999999999825,262.94212000001977,0.8269406392694084,217.43752480366985,215.93872320020282
2,17,669.1000000000143,663.7089200003452,0.8314003885816487,551.8078539933933,547.3361037995847
2,1,183.5999999999988,174.16599000001744,0.8117647058823596,141.38180364707415,148.3658208000239
2,5,289.19999999999897,273.47097600001905,0.8199861687413521,224.24241787221388,235.46726720017273
2,4,219.7999999999986,221.55980600001905,0.8178343949044612,181.1992298751754,178.79375920005288
2,16,635.0000000000126,625.5592720003049,0.8282519685039109,518.1206984501259,517.8754999997666
2,11,449.400000000005,448.17458000015296,0.8381842456608632,375.65287226180243,372.64079280007127
2,10,252.99999999999835,253.2441220000203,0.8411857707509895,213.0253519527447,211.53981999980638
2,13,160.39999999999907,170.9542700000185,0.8134663341645976,139.0655433266999,129.96543680009748
2,3,345.30000000000183,348.33896200007484,0.8154358528815397,284.0480785704013,279.1853582002019
2,18,289.69999999999953,284.7678520000199,0.8342768381083844,237.57522316149297,240.0114781998063
2,15,152.8999999999992,141.55306800001756,0.8539568345323826,120.8802098676421,130.10243180000148
2,14,145.19999999999928,143.90600200001657,0.8130853994490429,117.00786911929823,117.6383391999638
2,19,155.79999999999902,160.36955800001678,0.8114249037227311,130.12785316022055,125.93452719988511
2,9,128.89999999999944,145.8190700000176,0.8058184639255301,117.50369899846353,103.53769580011202
2,8,291.29999999999995,273.38719200001924,0.8267421901819375,226.02072588178578,239.13288619982575
12,12,252.2999999999981,247.47723045010258,0.8145461751882711,201.5816315093174,204.2368942002213
12,6,655.7000000000144,663.4147194003532,0.8253622083269502,547.5574378408795,532.5911501999208
12,7,733.500000000018,758.7500697004361,0.818882072256274,621.3268294008855,589.8895549998741
